strategy,first_seen_in,novel,replicable,blocked_reason,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,reconciliation_gap,n_conditions,conditions
BAS_spec:HT_Unde_0017,COMBINA_1027.xlsx,False,True,,,Jobber,2.427,49.6,21.6,273,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.22,3,lead_vs_line <= -160.315 AND open_gap <= 2.2797 AND ten_mins <= 23.4333
BAS_spec:Leader_0056,COMBINA_1027.xlsx,False,True,,spec:Leader,Npc,1.601,73.5,16.2,374,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.47,1,imbal >= 0.0139
BAS_late_lead_ho_0219,COMBINA_1027.xlsx,False,True,,late_lead_hold,Jobber,2.437,47,16.2,355,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.66,1,req_ratio >= 1.1619
BAS_late_lead_ho_0224,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,late_lead_hold,Jobber,2.318,49.8,15.7,419,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.26,1,tg_overround <= 1.1237
BAS_prop:late_le_0246,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Vision,2.353,50.9,15.3,323,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-4.47,1,tot_vs_line <= -76.8692
BAS_prop:late_le_0252,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Vision,2.263,51.9,15,306,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.45,1,prematch_dog_odds <= 4.45
BAS_prop:late_le_0241,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Vision,2.283,50,12.1,317,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.05,1,dog_odds_trend_60 >= -0.6769
LZ_V270_BASK_022,COMBINA_1027.xlsx,False,True,,,Npc,2.033,64.4,18.4,235,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-12.53,3,lead_vs_med >= 1.0267 AND lead_size >= 7 AND lead_odds >= 1.50
BAS_late_lead_ho_0220,COMBINA_1027.xlsx,False,True,,late_lead_hold,Jobber,2.431,47.8,17.3,290,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.1,1,req_ratio >= 1.2596
BAS_dog_leading_0156,COMBINA_1027.xlsx,False,True,,dog_leading,Jobber,2.433,46.4,15.6,301,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2.71,1,req_ratio >= 1.2493
BAS_late_lead_ho_0225,COMBINA_1027.xlsx,False,True,,late_lead_hold,Jobber,2.47,46.2,12.1,316,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.01,1,retrace_lo <= 0.1263
LZ_V270_BASK_015,COMBINA_1027.xlsx,False,True,,,Vision,2.193,57.5,11.8,346,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-14.3,3,lead_size >= 7 AND drift_ratio >= 0.6632 AND lead_odds >= 1.50
BAS_late_lead_ho_0226,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: leader_implied_gap,late_lead_hold,Jobber,2.218,49.7,11.2,364,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.97,1,leader_implied_gap >= -0.4524
BAS_prop:shorten_0187,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.649,67.1,10.2,295,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.45,1,imbal >= 0.0217
BAS_dog_leading_0172,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.496,44.4,9.7,384,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.12,1,tg_overround <= 1.1237
BAS_dog_leading_0164,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.341,47.5,9,344,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.2,1,tg_overround <= 1.1169
BAS_prop:first_s_0035,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,prop:first_scorer_hold,Jobber,2.277,48.6,8.9,305,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.76,2,px_gap_ratio <= 1.5 AND tg_overround <= 1.1237
BAS_prop:first_s_0039,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_dc4196fb,prop:first_scorer_hold,Jobber,2.524,43.5,8.6,346,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.19,1,pc_dc4196fb >= -4.0218
BAS_late_lead_ho_0228,COMBINA_1027.xlsx,False,True,,late_lead_hold,Jobber,2.388,44.8,8.4,349,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.42,1,u_drift <= 1.8124
BAS_dog_leading_0168,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.399,46.1,8.3,322,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.29,2,tg_overround <= 1.1148 AND req_ratio >= 1.2386
BAS_prop:drifter_0006,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: clean_sheet,prop:drifter_vs_open,Ino,5.405,19.6,8.3,294,prop:drifter_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2.36,3,X_minute__over__u_vol <= 2696.29 AND clean_sheet <= 0 AND lead_m15 <= 1
BAS_late_lead_ho_0091,COMBINA_1027.xlsx,False,True,,late_lead_hold,Npc,1.568,68.7,7.9,343,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.18,1,loser_runmax >= 1.8722
BAS_prop:first_s_0085,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_dc4196fb,prop:first_scorer_hold,Npc,1.606,67.8,7.8,370,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.09,1,pc_dc4196fb >= -4.4701
